name,latitude,longitude,state,locality,source
Canberra Terminal,-35.2809,149.13,Australian Capital Territory,Canberra,Known
Liddell,-32.3712280079999,150.975044007,New South Wales,Muswellbrook,Geoscience Australia
Moree Solar,-29.5727628189999,149.860739678,New South Wales,Moree,Geoscience Australia
Newcastle Terminal,-32.9283,151.7817,New South Wales,Newcastle,Known
Sydney Terminal,-33.8688,151.2093,New South Wales,Sydney,Known
Tallawarra,-34.5222346959999,150.807159121,New South Wales,Yallah,Geoscience Australia
Upper Tumut,-35.910894083,148.386042591,New South Wales,Cabramurra,Geoscience Australia
Wollongong Terminal,-34.4249,150.8931,New South Wales,Wollongong,Known
Alice Springs Terminal,-23.698,133.8807,Northern Territory,Alice Springs,Known
Darwin Terminal,-12.4628,130.8417,Northern Territory,Darwin,Known
Bowen North,-20.0178178649999,148.167520648,Queensland,Bowen,Geoscience Australia
Brisbane Terminal,-27.4698,153.0251,Queensland,Brisbane,Known
Cairns Terminal,-16.9462411229999,145.755070207,Queensland,Portsmith,Geoscience Australia
Gladstone,-23.849778586,151.216681575,Queensland,Callemondah,Geoscience Australia
Millmerran,-27.965235161,151.274319079,Queensland,Clontarf (Toowoomba),Geoscience Australia
Oakey,-27.4195918889999,151.679513829,Queensland,Oakey,Geoscience Australia
Swanbank A,-27.658245425,152.812013533,Queensland,Swanbank,Geoscience Australia
Swanbank E,-27.6551516599999,152.81894569,Queensland,Swanbank,Geoscience Australia
Townsville Terminal,-19.259,146.8169,Queensland,Townsville,Known
Adelaide Terminal,-34.9285,138.6007,South Australia,Adelaide,Known
Penola West,-37.4570460899999,140.781714292,South Australia,Monbulla,Geoscience Australia
Port Augusta Terminal,-32.493,137.772,South Australia,Port Augusta,Known
Whyalla,-33.00991206,137.576689851,South Australia,Whyalla Barson,Geoscience Australia
Basslink Cable terminal,-41.0426690629999,146.869144085,Tasmania,Low Head,Geoscience Australia
Hobart Terminal,-42.8821,147.3272,Tasmania,Hobart,Known
Launceston Terminal,-41.4332,147.1441,Tasmania,Launceston,Known
Meadowbank,-42.609519002,146.846334489,Tasmania,Meadowbank,Geoscience Australia
Tarraleah,-42.300375561,146.457790639,Tasmania,Tarraleah,Geoscience Australia
Tungatin,-42.2976774699999,146.457214611,Tasmania,Tarraleah,Geoscience Australia
Ararat,-37.838847,143.245636,Victoria,Ararat,AEMO Victoria
Axedale,-36.725225,144.54545,Victoria,Axedale,AEMO Victoria
Ballarat,-37.885608,143.921856,Victoria,Ballarat,AEMO Victoria
Bendigo,-37.037044,144.253589,Victoria,Bendigo,AEMO Victoria
Berrybank,-36.784025,143.45285,Victoria,Berrybank,AEMO Victoria
Bookaar,-38.1333,143.1,Victoria,Bookaar,AEMO Victoria
Brooklyn,-37.772669,144.861786,Victoria,Brooklyn,AEMO Victoria
Bulgana,-37.825967,142.985036,Victoria,Bulgana,AEMO Victoria
Carwarp,-37.999733,142.234786,Victoria,Carwarp,AEMO Victoria
Clover,-36.7857703559999,147.219451235,Victoria,Bogong,Geoscience Australia
Cranbourne,-34.499106,145.266433,Victoria,Cranbourne,AEMO Victoria
Cressy,-37.120567,143.752064,Victoria,Cressy,AEMO Victoria
