X,Y,objectid,featuretype,class,name,operationalstatus,state,spatialconfidence,revised,ga_guid,description,voltagekv,locality,comment_,x_coordinate,y_coordinate
115.796186428,-29.519223607,90,Substation,Terminal,Three Springs,Operational,Western Australia,5,1763510400000,{B603B25B-2BE7-4D4D-9B61-1313BD80BDB4},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Womarden,,115.79618643,-29.51922361
115.821965624,-31.681789158,138,Substation,Terminal,Neerabup,Operational,Western Australia,5,1763510400000,{F03F1188-D822-4FCB-BE0C-9E23973FD74A},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Pinjar,,115.82196562,-31.68178916
116.316536748,-32.7172977719999,140,Substation,Terminal,Wells Terminal,Operational,Western Australia,5,1763510400000,{3FE8AF22-14A7-4A9B-BF8D-1ED74D88B15A},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Mount Wells,,116.31653675,-32.71729777
116.23383155,-33.3318622049999,145,Substation,Terminal,Bluewaters,Operational,Western Australia,5,1763510400000,{C5637DBB-3180-4C02-B658-919BB122D741},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Palmer,,116.23383155,-33.3318622
115.922078907,-32.916238134,185,Substation,Terminal,Wagerup,Operational,Western Australia,5,1763510400000,{F7FD1C44-D5DD-4403-B638-9F554D27DA92},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Wagerup,,115.92207891,-32.91623813
115.896123666,-32.6470344969999,186,Substation,Terminal,Oakley,Operational,Western Australia,5,1763510400000,{1DAC7DDB-5AF9-45EC-BE24-CF540F1E5167},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Fairbridge,,115.89612367,-32.6470345
115.776074823,-32.2003091519999,190,Substation,Switchyard,Cockburn Terminal,Operational,Western Australia,5,1763510400000,{6CC9D08F-581A-40FE-B6E8-52706302C5E3},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Naval Base,,115.77607482,-32.20030915
116.003371239,-31.902078111,192,Substation,Terminal,Guildford,Operational,Western Australia,5,1763510400000,{0E6EB45D-421B-492B-A562-8C676790AAB9},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Hazelmere,,116.00337124,-31.90207811
146.846334489,-42.609519002,212,Substation,Terminal,Meadowbank,Operational,Tasmania,5,1763510400000,{2547D26E-6DE6-4DF1-AF6E-C03F44C54CDA},"A structure in which high voltage electricity supply is converted, controlled or transformed",110,Meadowbank,,146.84633449,-42.609519
146.457790639,-42.300375561,239,Substation,Terminal,Tarraleah,Operational,Tasmania,5,1763510400000,{04663D2B-0870-41CD-BEFE-7BF700D48C2B},"A structure in which high voltage electricity supply is converted, controlled or transformed",110,Tarraleah,,146.45779064,-42.30037556
150.975044007,-32.3712280079999,257,Substation,Terminal,Liddell,Operational,New South Wales,5,1763510400000,{D2384A44-2B04-46EA-9ECE-06A3510D43FA},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Muswellbrook,,150.97504401,-32.37122801
150.807159121,-34.5222346959999,280,Substation,Terminal,Tallawarra,Operational,New South Wales,5,1763510400000,{CA130CE7-8B84-4FB9-974A-860CE09D0602},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Yallah,,150.80715912,-34.5222347
147.219451235,-36.7857703559999,289,Substation,Terminal,Clover,Operational,Victoria,5,1763510400000,{70C6A7AB-7E9E-413D-A09D-2186C963B8A6},"A structure in which high voltage electricity supply is converted, controlled or transformed",220,Bogong,Hydro,147.21945124,-36.78577036
144.952983348,-37.6313563319999,303,Substation,Terminal,Somerton,Operational,Victoria,5,1763510400000,{34E5C7B6-6D40-46AE-AEA2-D16DCA3D8D6A},"A structure in which high voltage electricity supply is converted, controlled or transformed",500,Somerton,Gas,144.95298335,-37.63135633
146.457214611,-42.2976774699999,372,Substation,Terminal,Tungatin,Operational,Tasmania,5,1763510400000,{FF9BB617-2C5E-418C-87AC-B8275E2953F0},"A structure in which high voltage electricity supply is converted, controlled or transformed",110,Tarraleah,Hydro,146.45721461,-42.29767747
115.766310608,-32.2231186609999,383,Substation,Terminal,Kwinana Power Partnership,Operational,Western Australia,5,1763510400000,{71A5A9E8-DA3E-4763-A184-B89D985BF83A},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Kwinana Beach,,115.76631061,-32.22311866
115.758723029,-32.092071658,393,Substation,Terminal,South Fremantle,Operational,Western Australia,5,1763510400000,{99330D59-5691-40E8-9F0B-1155DE236694},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,North Coogee,,115.75872303,-32.09207166
115.867388267,-31.916655404,395,Substation,Terminal,Mount Lawley,Operational,Western Australia,5,1763510400000,{729CDFE0-6515-437D-A30B-3612C0FC2525},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Inglewood,,115.86738827,-31.9166554
143.921861893,-37.567367901,411,Substation,Terminal,Ballarat,Operational,Victoria,5,1763510400000,{69FB5875-324D-40EF-94B5-778AB33E6E74},"A structure in which high voltage electricity supply is converted, controlled or transformed",220,Warrenheip,,143.92186189,-37.5673679
148.386042591,-35.910894083,418,Substation,Terminal,Upper Tumut,Operational,New South Wales,5,1763510400000,{04B74D08-52D5-48EC-A339-0BBEC2C03F77},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Cabramurra,,148.38604259,-35.91089408
115.817034082,-32.89878629,432,Substation,Terminal,Landwehr,Operational,Western Australia,5,1763510400000,{8CC3B62C-16EE-4936-9F99-D50A1E0BEA58},"A structure in which high voltage electricity supply is converted, controlled or transformed",330,Wagerup,,115.81703408,-32.89878629
140.781714292,-37.4570460899999,462,Substation,Terminal,Penola West,Operational,South Australia,5,1763510400000,{A7D7EA3E-249A-417B-A8DF-E52F61E4570A},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Monbulla,,140.78171429,-37.45704609
115.457653928,-30.6516451809999,482,Substation,Terminal,Cataby,Operational,Western Australia,5,1763510400000,{8FDFDB56-6CB5-4238-9CBC-4D35DA28D22C},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,Cooljarloo,,115.45765393,-30.65164518
115.118634973,-28.890117502,485,Substation,Terminal,Mungarra,Operational,Western Australia,5,1763510400000,{A2E44C30-5E30-440D-B140-E5F2D2AD7989},"A structure in which high voltage electricity supply is converted, controlled or transformed",132,West Casuarinas,,115.11863497,-28.8901175
