title,status,size_mw,size_mwh,year_operational,technology,owner,categories,latitude,longitude,state
Hornsdale,Operating,150.0,194.0,2017,Tesla,Neoen,1,-33.23704450029045,138.59014310751712,SA
Dalrymple North,Operating,30.0,8.0,2018,Samsung,ElectraNet,1,-33.86631624171673,137.80949082425056,SA
Lake Bonney ,Operating,25.0,52.0,2019,Tesla,Infigen,1,-37.55317045265356,140.51688285520652,SA
Gannawarra,Operating,25.0,50.0,2019,Tesla,Edify,1,-35.605076659923874,143.8136855536666,VIC
Ballarat,Operating,30.0,30.0,2019,Fluence,Ausnet,1,-37.75487335269537,143.91167432809252,VIC
Mt Newman,Operating,30.0,11.4,2018,Kokam,Alinta,1,-23.3,119.73,WA
Lincoln Gap,Operating,10.0,10.0,2021,Fluence,Nexif,1,-33.04,136.39,SA
Wandoan South,Operating,100.0,150.0,2021,Doosan ,Vena Energy,1,-27.11862943249476,120.82667400147267,WA
Victoria Big Battery,Operating,300.0,450.0,2021,Tesla Megapack,Neoen,1,-37.802135337643634,144.22341592769553,VIC
Bulgana,Operating,20.0,34.0,2021,Tesla,Neoen,1,-37.37437848536467,142.6347783061956,VIC
Wallgrove,Operating,50.0,75.0,2021,Tesla Megapack,Transgrid,1,-33.87818285890299,150.73910456134496,NSW
New England,Construction,50.0,60.0,2022,Energy Vault,UPC/AC,3,-30.52,151.49,NSW
Playford Utility Battery,Announced,100.0,100.0,2022,,GFG,2,-32.79,137.77,SA
Torrens Island,Operating,250.0,250.0,2023,N/A,AGL,1,-34.77599708261246,138.48165234329915,SA
Capital Battery,Operating,50.0,100.0,2023,Doosan,Neoen,1,-35.11938925514724,149.07729165627484,ACT
Queanbeyan,Operating,10.0,20.0,2022,Ingeteam,GPG,1,-35.35,149.23,NSW
Darwin,Construction,35.0,18.0,2022,Hitachi Energy,Tender,3,-19.830308728472644,132.98283893555092,NT
Sapphire,Announced,30.0,30.0,2022,,CWP,2,-30.02346916968567,134.88282261070884,SA
Loy Yang,Announced,200.0,800.0,,,AGL,2,-38.23,146.47,VIC
Wooreen,Construction,350.0,1400.0,2026,,EnergyAustralia,3,-38.23,146.52,VIC
Sunraysia,Announced,50.0,100.0,2023,,Maoneng,2,-34.64,143.56,NSW
NSW diverse,Announced,150.0,300.0,2023,,Maoneng,2,-31.95913940740442,146.90576032138154,NSW
Liddell,Construction,150.0,150.0,2025,,AGL,3,-32.35,150.92,NSW
Eraring,Operating,700.0,2800.0,2022,Wartsila,Origin,1,-32.99476540235215,151.42111251937416,NSW
Wagerup,Construction,100.0,,2025,Shanghai Electric,Alinta,3,-27.17493602786508,121.1420387983708,WA
Kwinana,Operating,100.0,200.0,2022,CATL,Synergy,1,-32.19327121129591,115.78780048358263,WA
Kurri Kurri,Announced,1200.0,,,,CEP Energy,2,-32.83,151.47,NSW
Sun Cable,Announced,,,,,Sun Cable,2,-12.47,130.97,NT
